Sentence #1 (34 tokens):
I can't believe I am so angry after seeing this that I am about to write my first ever review on IMDb.This Disney documentary is nothing but a rehashed Planet Earth lite.
[Text=I CharacterOffsetBegin=4 CharacterOffsetEnd=5 PartOfSpeech=PRP] [Text=ca CharacterOffsetBegin=6 CharacterOffsetEnd=8 PartOfSpeech=MD] [Text=n't CharacterOffsetBegin=8 CharacterOffsetEnd=11 PartOfSpeech=RB] [Text=believe CharacterOffsetBegin=12 CharacterOffsetEnd=19 PartOfSpeech=VB] [Text=I CharacterOffsetBegin=20 CharacterOffsetEnd=21 PartOfSpeech=PRP] [Text=am CharacterOffsetBegin=22 CharacterOffsetEnd=24 PartOfSpeech=VBP] [Text=so CharacterOffsetBegin=25 CharacterOffsetEnd=27 PartOfSpeech=RB] [Text=angry CharacterOffsetBegin=28 CharacterOffsetEnd=33 PartOfSpeech=JJ] [Text=after CharacterOffsetBegin=34 CharacterOffsetEnd=39 PartOfSpeech=IN] [Text=seeing CharacterOffsetBegin=40 CharacterOffsetEnd=46 PartOfSpeech=VBG] [Text=this CharacterOffsetBegin=47 CharacterOffsetEnd=51 PartOfSpeech=DT] [Text=that CharacterOffsetBegin=52 CharacterOffsetEnd=56 PartOfSpeech=IN] [Text=I CharacterOffsetBegin=57 CharacterOffsetEnd=58 PartOfSpeech=PRP] [Text=am CharacterOffsetBegin=59 CharacterOffsetEnd=61 PartOfSpeech=VBP] [Text=about CharacterOffsetBegin=62 CharacterOffsetEnd=67 PartOfSpeech=IN] [Text=to CharacterOffsetBegin=68 CharacterOffsetEnd=70 PartOfSpeech=TO] [Text=write CharacterOffsetBegin=71 CharacterOffsetEnd=76 PartOfSpeech=VB] [Text=my CharacterOffsetBegin=77 CharacterOffsetEnd=79 PartOfSpeech=PRP$] [Text=first CharacterOffsetBegin=80 CharacterOffsetEnd=85 PartOfSpeech=JJ] [Text=ever CharacterOffsetBegin=86 CharacterOffsetEnd=90 PartOfSpeech=RB] [Text=review CharacterOffsetBegin=91 CharacterOffsetEnd=97 PartOfSpeech=VB] [Text=on CharacterOffsetBegin=98 CharacterOffsetEnd=100 PartOfSpeech=IN] [Text=IMDb.This CharacterOffsetBegin=101 CharacterOffsetEnd=110 PartOfSpeech=NNP] [Text=Disney CharacterOffsetBegin=111 CharacterOffsetEnd=117 PartOfSpeech=NNP] [Text=documentary CharacterOffsetBegin=118 CharacterOffsetEnd=129 PartOfSpeech=NN] [Text=is CharacterOffsetBegin=130 CharacterOffsetEnd=132 PartOfSpeech=VBZ] [Text=nothing CharacterOffsetBegin=133 CharacterOffsetEnd=140 PartOfSpeech=NN] [Text=but CharacterOffsetBegin=141 CharacterOffsetEnd=144 PartOfSpeech=CC] [Text=a CharacterOffsetBegin=145 CharacterOffsetEnd=146 PartOfSpeech=DT] [Text=rehashed CharacterOffsetBegin=147 CharacterOffsetEnd=155 PartOfSpeech=VBN] [Text=Planet CharacterOffsetBegin=156 CharacterOffsetEnd=162 PartOfSpeech=NN] [Text=Earth CharacterOffsetBegin=163 CharacterOffsetEnd=168 PartOfSpeech=NNP] [Text=lite CharacterOffsetBegin=169 CharacterOffsetEnd=173 PartOfSpeech=NN] [Text=. CharacterOffsetBegin=173 CharacterOffsetEnd=174 PartOfSpeech=.] 
root(ROOT-0, believe-4)
[Text=After CharacterOffsetBegin=901 CharacterOffsetEnd=906 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=907 CharacterOffsetEnd=910 PartOfSpeech=DT] [Text=male CharacterOffsetBegin=911 CharacterOffsetEnd=915 PartOfSpeech=JJ] [Text=polar CharacterOffsetBegin=916 CharacterOffsetEnd=921 PartOfSpeech=JJ] [Text=bear CharacterOffsetBegin=922 CharacterOffsetEnd=926 PartOfSpeech=NN] [Text='s CharacterOffsetBegin=926 CharacterOffsetEnd=928 PartOfSpeech=POS] [Text=demise CharacterOffsetBegin=929 CharacterOffsetEnd=935 PartOfSpeech=NN] [Text=, CharacterOffsetBegin=935 CharacterOffsetEnd=936 PartOfSpeech=,] [Text=they CharacterOffsetBegin=937 CharacterOffsetEnd=941 PartOfSpeech=PRP] [Text=show CharacterOffsetBegin=942 CharacterOffsetEnd=946 PartOfSpeech=VBP] [Text=his CharacterOffsetBegin=947 CharacterOffsetEnd=950 PartOfSpeech=PRP$] [Text=cubs CharacterOffsetBegin=951 CharacterOffsetEnd=955 PartOfSpeech=NNS] [Text=grown CharacterOffsetBegin=956 CharacterOffsetEnd=961 PartOfSpeech=VBN] [Text=significantly CharacterOffsetBegin=962 CharacterOffsetEnd=975 PartOfSpeech=RB] [Text=a CharacterOffsetBegin=976 CharacterOffsetEnd=977 PartOfSpeech=DT] [Text=year CharacterOffsetBegin=978 CharacterOffsetEnd=982 PartOfSpeech=NN] [Text=later CharacterOffsetBegin=983 CharacterOffsetEnd=988 PartOfSpeech=RB] [Text=, CharacterOffsetBegin=988 CharacterOffsetEnd=989 PartOfSpeech=,] [Text=and CharacterOffsetBegin=990 CharacterOffsetEnd=993 PartOfSpeech=CC] [Text=spew CharacterOffsetBegin=994 CharacterOffsetEnd=998 PartOfSpeech=VB] [Text=some CharacterOffsetBegin=999 CharacterOffsetEnd=1003 PartOfSpeech=DT] [Text=garbage CharacterOffsetBegin=1004 CharacterOffsetEnd=1011 PartOfSpeech=NN] [Text=about CharacterOffsetBegin=1012 CharacterOffsetEnd=1017 PartOfSpeech=IN] [Text=how CharacterOffsetBegin=1018 CharacterOffsetEnd=1021 PartOfSpeech=WRB] [Text=they CharacterOffsetBegin=1022 CharacterOffsetEnd=1026 PartOfSpeech=PRP] [Text=are CharacterOffsetBegin=1027 CharacterOffsetEnd=1030 PartOfSpeech=VBP] [Text=ready CharacterOffsetBegin=1031 CharacterOffsetEnd=1036 PartOfSpeech=JJ] [Text=to CharacterOffsetBegin=1037 CharacterOffsetEnd=1039 PartOfSpeech=TO] [Text=carry CharacterOffsetBegin=1040 CharacterOffsetEnd=1045 PartOfSpeech=VB] [Text=on CharacterOffsetBegin=1046 CharacterOffsetEnd=1048 PartOfSpeech=IN] [Text=his CharacterOffsetBegin=1049 CharacterOffsetEnd=1052 PartOfSpeech=PRP$] [Text=memory CharacterOffsetBegin=1053 CharacterOffsetEnd=1059 PartOfSpeech=NN] [Text=, CharacterOffsetBegin=1059 CharacterOffsetEnd=1060 PartOfSpeech=,] [Text=and CharacterOffsetBegin=1061 CharacterOffsetEnd=1064 PartOfSpeech=CC] [Text=that CharacterOffsetBegin=1065 CharacterOffsetEnd=1069 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=1070 CharacterOffsetEnd=1073 PartOfSpeech=DT] [Text=earth CharacterOffsetBegin=1074 CharacterOffsetEnd=1079 PartOfSpeech=NN] [Text=really CharacterOffsetBegin=1080 CharacterOffsetEnd=1086 PartOfSpeech=RB] [Text=is CharacterOffsetBegin=1087 CharacterOffsetEnd=1089 PartOfSpeech=VBZ] [Text=a CharacterOffsetBegin=1090 CharacterOffsetEnd=1091 PartOfSpeech=DT] [Text=beautiful CharacterOffsetBegin=1092 CharacterOffsetEnd=1101 PartOfSpeech=JJ] [Text=place CharacterOffsetBegin=1102 CharacterOffsetEnd=1107 PartOfSpeech=NN] [Text=after CharacterOffsetBegin=1108 CharacterOffsetEnd=1113 PartOfSpeech=IN] [Text=all CharacterOffsetBegin=1114 CharacterOffsetEnd=1117 PartOfSpeech=DT] [Text=. CharacterOffsetBegin=1117 CharacterOffsetEnd=1118 PartOfSpeech=.] 
root(ROOT-0, show-10)
prep(show-10, After-1)
det(bear-5, the-2)
amod(bear-5, male-3)
amod(bear-5, polar-4)
poss(demise-7, bear-5)
possessive(bear-5, 's-6)
pobj(After-1, demise-7)
punct(show-10, ,-8)
nsubj(show-10, they-9)
poss(cubs-12, his-11)
nsubj(grown-13, cubs-12)
ccomp(show-10, grown-13)
advmod(year-16, significantly-14)
det(year-16, a-15)
npadvmod(later-17, year-16)
advmod(grown-13, later-17)
punct(show-10, ,-18)
cc(show-10, and-19)
conj(show-10, spew-20)
det(garbage-22, some-21)
dobj(spew-20, garbage-22)
prep(garbage-22, about-23)
advmod(ready-27, how-24)
nsubj(ready-27, they-25)
cop(ready-27, are-26)
pcomp(about-23, ready-27)
aux(carry-29, to-28)
xcomp(ready-27, carry-29)
prep(carry-29, on-30)
poss(memory-32, his-31)
pobj(on-30, memory-32)
punct(show-10, ,-33)
cc(show-10, and-34)
mark(place-42, that-35)
det(earth-37, the-36)
nsubj(place-42, earth-37)
advmod(place-42, really-38)
cop(place-42, is-39)
det(place-42, a-40)
amod(place-42, beautiful-41)
conj(show-10, place-42)
prep(place-42, after-43)
pobj(after-43, all-44)
punct(show-10, .-45)

Sentence #7 (35 tokens):
No mention of the grown cubs impending deaths due to the same plight their father endured, no warning of trouble for future generations if we don't get our act together, nothing.
[Text=No CharacterOffsetBegin=1123 CharacterOffsetEnd=1125 PartOfSpeech=DT] [Text=mention CharacterOffsetBegin=1126 CharacterOffsetEnd=1133 PartOfSpeech=NN] [Text=of CharacterOffsetBegin=1134 CharacterOffsetEnd=1136 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=1137 CharacterOffsetEnd=1140 PartOfSpeech=DT] [Text=grown CharacterOffsetBegin=1141 CharacterOffsetEnd=1146 PartOfSpeech=JJ] [Text=cubs CharacterOffsetBegin=1147 CharacterOffsetEnd=1151 PartOfSpeech=NNS] [Text=impending CharacterOffsetBegin=1152 CharacterOffsetEnd=1161 PartOfSpeech=VBG] [Text=deaths CharacterOffsetBegin=1162 CharacterOffsetEnd=1168 PartOfSpeech=NNS] [Text=due CharacterOffsetBegin=1169 CharacterOffsetEnd=1172 PartOfSpeech=JJ] [Text=to CharacterOffsetBegin=1173 CharacterOffsetEnd=1175 PartOfSpeech=TO] [Text=the CharacterOffsetBegin=1176 CharacterOffsetEnd=1179 PartOfSpeech=DT] [Text=same CharacterOffsetBegin=1180 CharacterOffsetEnd=1184 PartOfSpeech=JJ] [Text=plight CharacterOffsetBegin=1185 CharacterOffsetEnd=1191 PartOfSpeech=NN] [Text=their CharacterOffsetBegin=1192 CharacterOffsetEnd=1197 PartOfSpeech=PRP$] [Text=father CharacterOffsetBegin=1198 CharacterOffsetEnd=1204 PartOfSpeech=NN] [Text=endured CharacterOffsetBegin=1205 CharacterOffsetEnd=1212 PartOfSpeech=VBD] [Text=, CharacterOffsetBegin=1212 CharacterOffsetEnd=1213 PartOfSpeech=,] [Text=no CharacterOffsetBegin=1214 CharacterOffsetEnd=1216 PartOfSpeech=DT] [Text=warning CharacterOffsetBegin=1217 CharacterOffsetEnd=1224 PartOfSpeech=NN] [Text=of CharacterOffsetBegin=1225 CharacterOffsetEnd=1227 PartOfSpeech=IN] [Text=trouble CharacterOffsetBegin=1228 CharacterOffsetEnd=1235 PartOfSpeech=NN] [Text=for CharacterOffsetBegin=1236 CharacterOffsetEnd=1239 PartOfSpeech=IN] [Text=future CharacterOffsetBegin=1240 CharacterOffsetEnd=1246 PartOfSpeech=JJ] [Text=generations CharacterOffsetBegin=1247 CharacterOffsetEnd=1258 PartOfSpeech=NNS] [Text=if CharacterOffsetBegin=1259 CharacterOffsetEnd=1261 PartOfSpeech=IN] [Text=we CharacterOffsetBegin=1262 CharacterOffsetEnd=1264 PartOfSpeech=PRP] [Text=do CharacterOffsetBegin=1265 CharacterOffsetEnd=1267 PartOfSpeech=VBP] [Text=n't CharacterOffsetBegin=1267 CharacterOffsetEnd=1270 PartOfSpeech=RB] [Text=get CharacterOffsetBegin=1271 CharacterOffsetEnd=1274 PartOfSpeech=VB] [Text=our CharacterOffsetBegin=1275 CharacterOffsetEnd=1278 PartOfSpeech=PRP$] [Text=act CharacterOffsetBegin=1279 CharacterOffsetEnd=1282 PartOfSpeech=NN] [Text=together CharacterOffsetBegin=1283 CharacterOffsetEnd=1291 PartOfSpeech=RB] [Text=, CharacterOffsetBegin=1291 CharacterOffsetEnd=1292 PartOfSpeech=,] [Text=nothing CharacterOffsetBegin=1293 CharacterOffsetEnd=1300 PartOfSpeech=NN] [Text=. CharacterOffsetBegin=1300 CharacterOffsetEnd=1301 PartOfSpeech=.] 
root(ROOT-0, mention-2)
det(mention-2, No-1)
prep(mention-2, of-3)
det(cubs-6, the-4)
amod(cubs-6, grown-5)
pobj(of-3, cubs-6)
amod(deaths-8, impending-7)
dep(cubs-6, deaths-8)
amod(deaths-8, due-9)
prep(due-9, to-10)
det(plight-13, the-11)
amod(plight-13, same-12)
pobj(to-10, plight-13)
poss(father-15, their-14)
nsubj(endured-16, father-15)
rcmod(plight-13, endured-16)
punct(mention-2, ,-17)
det(warning-19, no-18)
appos(mention-2, warning-19)
prep(warning-19, of-20)
pobj(of-20, trouble-21)
prep(trouble-21, for-22)
amod(generations-24, future-23)
pobj(for-22, generations-24)
mark(get-29, if-25)
nsubj(get-29, we-26)
aux(get-29, do-27)
neg(get-29, n't-28)
dep(mention-2, get-29)
poss(act-31, our-30)
dobj(get-29, act-31)
advmod(get-29, together-32)
punct(get-29, ,-33)
dobj(get-29, nothing-34)
punct(mention-2, .-35)

Sentence #8 (34 tokens):
Just a montage of stuff we have already seen throughout the movie (and many times more, if you are one of the billion people who have already seen Planet Earth).
[Text=Just CharacterOffsetBegin=1306 CharacterOffsetEnd=1310 PartOfSpeech=RB] [Text=a CharacterOffsetBegin=1311 CharacterOffsetEnd=1312 PartOfSpeech=DT] [Text=montage CharacterOffsetBegin=1313 CharacterOffsetEnd=1320 PartOfSpeech=NN] [Text=of CharacterOffsetBegin=1321 CharacterOffsetEnd=1323 PartOfSpeech=IN] [Text=stuff CharacterOffsetBegin=1324 CharacterOffsetEnd=1329 PartOfSpeech=NN] [Text=we CharacterOffsetBegin=1330 CharacterOffsetEnd=1332 PartOfSpeech=PRP] [Text=have CharacterOffsetBegin=1333 CharacterOffsetEnd=1337 PartOfSpeech=VBP] [Text=already CharacterOffsetBegin=1338 CharacterOffsetEnd=1345 PartOfSpeech=RB] [Text=seen CharacterOffsetBegin=1346 CharacterOffsetEnd=1350 PartOfSpeech=VBN] [Text=throughout CharacterOffsetBegin=1351 CharacterOffsetEnd=1361 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=1362 CharacterOffsetEnd=1365 PartOfSpeech=DT] [Text=movie CharacterOffsetBegin=1366 CharacterOffsetEnd=1371 PartOfSpeech=NN] [Text=-LRB- CharacterOffsetBegin=1372 CharacterOffsetEnd=1373 PartOfSpeech=-LRB-] [Text=and CharacterOffsetBegin=1373 CharacterOffsetEnd=1376 PartOfSpeech=CC] [Text=many CharacterOffsetBegin=1377 CharacterOffsetEnd=1381 PartOfSpeech=JJ] [Text=times CharacterOffsetBegin=1382 CharacterOffsetEnd=1387 PartOfSpeech=NNS] [Text=more CharacterOffsetBegin=1388 CharacterOffsetEnd=1392 PartOfSpeech=RBR] [Text=, CharacterOffsetBegin=1392 CharacterOffsetEnd=1393 PartOfSpeech=,] [Text=if CharacterOffsetBegin=1394 CharacterOffsetEnd=1396 PartOfSpeech=IN] [Text=you CharacterOffsetBegin=1397 CharacterOffsetEnd=1400 PartOfSpeech=PRP] [Text=are CharacterOffsetBegin=1401 CharacterOffsetEnd=1404 PartOfSpeech=VBP] [Text=one CharacterOffsetBegin=1405 CharacterOffsetEnd=1408 PartOfSpeech=CD] [Text=of CharacterOffsetBegin=1409 CharacterOffsetEnd=1411 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=1412 CharacterOffsetEnd=1415 PartOfSpeech=DT] [Text=billion CharacterOffsetBegin=1416 CharacterOffsetEnd=1423 PartOfSpeech=CD] [Text=people CharacterOffsetBegin=1424 CharacterOffsetEnd=1430 PartOfSpeech=NNS] [Text=who CharacterOffsetBegin=1431 CharacterOffsetEnd=1434 PartOfSpeech=WP] [Text=have CharacterOffsetBegin=1435 CharacterOffsetEnd=1439 PartOfSpeech=VBP] [Text=already CharacterOffsetBegin=1440 CharacterOffsetEnd=1447 PartOfSpeech=RB] [Text=seen CharacterOffsetBegin=1448 CharacterOffsetEnd=1452 PartOfSpeech=VBN] [Text=Planet CharacterOffsetBegin=1453 CharacterOffsetEnd=1459 PartOfSpeech=NN] [Text=Earth CharacterOffsetBegin=1460 CharacterOffsetEnd=1465 PartOfSpeech=NNP] [Text=-RRB- CharacterOffsetBegin=1465 CharacterOffsetEnd=1466 PartOfSpeech=-RRB-] [Text=. CharacterOffsetBegin=1466 CharacterOffsetEnd=1467 PartOfSpeech=.] 
root(ROOT-0, montage-3)
advmod(montage-3, Just-1)
det(montage-3, a-2)
prep(montage-3, of-4)
pobj(of-4, stuff-5)
nsubj(seen-9, we-6)
aux(seen-9, have-7)
advmod(seen-9, already-8)
rcmod(montage-3, seen-9)
prep(seen-9, throughout-10)
det(movie-12, the-11)
pobj(throughout-10, movie-12)
punct(times-16, -LRB--13)
cc(times-16, and-14)
conj(times-16, many-15)
dep(movie-12, times-16)
advmod(times-16, more-17)
punct(times-16, ,-18)
mark(one-22, if-19)
nsubj(one-22, you-20)
cop(one-22, are-21)
advcl(times-16, one-22)
prep(one-22, of-23)
det(people-26, the-24)
num(people-26, billion-25)
pobj(of-23, people-26)
nsubj(seen-30, who-27)
aux(seen-30, have-28)
advmod(seen-30, already-29)
rcmod(people-26, seen-30)
dobj(seen-30, Planet-31)
appos(Planet-31, Earth-32)
punct(Earth-32, -RRB--33)
punct(montage-3, .-34)

Sentence #9 (15 tokens):
I have never left the theater feeling so ashamed and cheated in my life.
[Text=I CharacterOffsetBegin=1467 CharacterOffsetEnd=1468 PartOfSpeech=PRP] [Text=have CharacterOffsetBegin=1469 CharacterOffsetEnd=1473 PartOfSpeech=VBP] [Text=never CharacterOffsetBegin=1474 CharacterOffsetEnd=1479 PartOfSpeech=RB] [Text=left CharacterOffsetBegin=1480 CharacterOffsetEnd=1484 PartOfSpeech=VBN] [Text=the CharacterOffsetBegin=1485 CharacterOffsetEnd=1488 PartOfSpeech=DT] [Text=theater CharacterOffsetBegin=1489 CharacterOffsetEnd=1496 PartOfSpeech=NN] [Text=feeling CharacterOffsetBegin=1497 CharacterOffsetEnd=1504 PartOfSpeech=NN] [Text=so CharacterOffsetBegin=1505 CharacterOffsetEnd=1507 PartOfSpeech=RB] [Text=ashamed CharacterOffsetBegin=1508 CharacterOffsetEnd=1515 PartOfSpeech=JJ] [Text=and CharacterOffsetBegin=1516 CharacterOffsetEnd=1519 PartOfSpeech=CC] [Text=cheated CharacterOffsetBegin=1520 CharacterOffsetEnd=1527 PartOfSpeech=VBN] [Text=in CharacterOffsetBegin=1528 CharacterOffsetEnd=1530 PartOfSpeech=IN] [Text=my CharacterOffsetBegin=1531 CharacterOffsetEnd=1533 PartOfSpeech=PRP$] [Text=life CharacterOffsetBegin=1534 CharacterOffsetEnd=1538 PartOfSpeech=NN] [Text=. CharacterOffsetBegin=1538 CharacterOffsetEnd=1539 PartOfSpeech=.] 
root(ROOT-0, left-4)
nsubj(left-4, I-1)
aux(left-4, have-2)
neg(left-4, never-3)
det(theater-6, the-5)
nsubj(feeling-7, theater-6)
xcomp(left-4, feeling-7)
advmod(feeling-7, so-8)
dep(feeling-7, ashamed-9)
cc(ashamed-9, and-10)
conj(ashamed-9, cheated-11)
prep(cheated-11, in-12)
poss(life-14, my-13)
pobj(in-12, life-14)
punct(left-4, .-15)

